Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
18.12.2024,"14,364","14,3612","14,4682","14,0392",,"0,04%"
17.12.2024,"14,358","14,2199","14,3775","13,9427",,"0,96%"
16.12.2024,"14,2218","14,3654","14,3687","14,0076",,"-0,96%"
13.12.2024,"14,3599","14,4362","14,4365","14,0134",,"-0,55%"
12.12.2024,"14,4393","14,5341","14,6065","14,17",,"-0,59%"
11.12.2024,"14,5251","14,2174","14,972","13,9955",,"2,21%"
10.12.2024,"14,2116","13,7743","14,213","13,743",,"3,19%"
09.12.2024,"13,7716","13,8242","13,8623","13,5951",,"-0,39%"
06.12.2024,"13,8251","13,9073","14,0569","13,5613",,"-0,60%"
05.12.2024,"13,9089","14,4476","14,4518","13,4656",,"-3,73%"
04.12.2024,"14,4485","14,4223","14,5837","14,1604",,"0,28%"
03.12.2024,"14,4088","14,618","14,7789","14,2837",,"-1,60%"
02.12.2024,"14,6428","14,684","14,9402","14,5128",,"-0,41%"
29.11.2024,"14,7024","14,9284","15,2197","14,4307",,"-1,37%"
28.11.2024,"14,9062","15,6276","15,6308","14,5913",,"-4,52%"
27.11.2024,"15,6117","14,5553","15,7975","14,2375",,"7,32%"
26.11.2024,"14,5469","14,3421","14,8888","14,134",,"1,27%"
25.11.2024,"14,3638","14,4153","14,416","14,1087",,"-0,25%"
22.11.2024,"14,4004","13,9804","14,4016","13,8488",,"2,90%"
21.11.2024,"13,9946","13,8006","14,0107","13,8006",,"0,81%"
20.11.2024,"13,8825","13,8951","13,9066","13,773",,"-0,06%"
19.11.2024,"13,891","13,7935","13,9623","13,7824",,"0,80%"
18.11.2024,"13,7804","13,8247","13,8793","13,7435",,"-0,31%"
15.11.2024,"13,8234","13,7645","13,8879","13,6937",,"0,47%"
14.11.2024,"13,7587","13,613","13,9105","13,4687",,"0,95%"
13.11.2024,"13,6296","13,5148","13,6806","13,5148",,"0,35%"
12.11.2024,"13,5818","13,2971","13,5857","13,2727",,"2,10%"
11.11.2024,"13,3031","13,5951","13,7","13,2365",,"-2,14%"
08.11.2024,"13,5938","13,7013","13,7325","13,5149",,"-0,93%"
07.11.2024,"13,7212","13,5342","13,7238","13,4945",,"1,31%"
06.11.2024,"13,5435","13,3707","14,0054","13,3707",,"-1,60%"
05.11.2024,"13,7634","13,8544","13,8913","13,6978",,"-0,65%"
04.11.2024,"13,8529","13,7852","13,9562","13,7378",,"0,70%"
01.11.2024,"13,7568","13,6873","13,7945","13,6168",,"0,57%"
31.10.2024,"13,6785","13,6195","13,6817","13,6003",,"0,45%"
30.10.2024,"13,6172","13,6829","13,7451","13,5604",,"-0,40%"
29.10.2024,"13,6717","13,6351","13,7435","13,4014",,"0,28%"
28.10.2024,"13,6332","13,6334","13,7491","13,548",,"-0,17%"
25.10.2024,"13,6558","13,5238","13,6677","13,5041",,"1,03%"
24.10.2024,"13,5171","13,4792","13,6544","13,4138",,"0,35%"
23.10.2024,"13,4702","13,4275","13,5893","13,422",,"0,22%"
22.10.2024,"13,4408","13,5909","13,6326","13,4419",,"-1,13%"
21.10.2024,"13,5949","13,6189","13,7157","13,4597",,"-0,14%"
18.10.2024,"13,614","13,5812","13,6771","13,4136",,"0,30%"
17.10.2024,"13,5738","13,5895","13,7191","13,5738",,"-0,06%"
16.10.2024,"13,582","13,5893","13,7356","13,5799",,"0,00%"
15.10.2024,"13,582","13,3334","13,9231","13,2032",,"0,71%"
14.10.2024,"13,4869","13,532","13,6176","13,4885",,"-0,50%"
11.10.2024,"13,5553","13,6545","13,7465","13,4714",,"-0,64%"
10.10.2024,"13,6425","13,7112","13,7963","13,6437",,"-0,39%"
09.10.2024,"13,6964","13,6896","14,1692","13,6272",,"-0,04%"
08.10.2024,"13,7022","13,644","13,7213","13,5854",,"-0,01%"
07.10.2024,"13,7042","13,6083","13,7494","13,6083",,"1,26%"
04.10.2024,"13,5333","13,4644","13,6781","13,4644",,"0,26%"
03.10.2024,"13,4977","13,4658","13,5855","13,4515",,"-0,94%"
02.10.2024,"13,6259","13,6304","13,842","13,3448",,"-0,21%"
01.10.2024,"13,6544","13,2379","13,6568","13,2079",,"3,06%"
30.09.2024,"13,2484","13,4448","13,4508","13,1123",,"-1,52%"
27.09.2024,"13,453","13,2006","13,4537","13,1573",,"1,85%"
26.09.2024,"13,2087","13,0919","13,2391","13,0471",,"0,43%"
25.09.2024,"13,1516","13,1445","13,2565","12,9786",,"-0,34%"
24.09.2024,"13,1964","12,9645","13,3007","12,9506",,"1,74%"
23.09.2024,"12,9703","13,1065","13,219","12,9723",,"-0,95%"
20.09.2024,"13,0949","13,0581","13,2029","13,0509",,"0,42%"
19.09.2024,"13,0402","13,0086","13,2649","12,9489",,"-1,35%"
18.09.2024,"13,2186","12,8234","13,2521","12,8193",,"2,49%"
